year,p5,p50,p95,mean
1857,211.0,235.0,258.05,233.45
1858,227.9,246.5,274.05,248.51
1859,209.95,233.5,258.1,234.69
1860,224.95,251.0,274.1,250.82
1861,217.95,241.0,269.0,241.99
1862,219.95,242.0,268.1,242.41
1863,201.9,224.5,250.05,226.66
1864,214.9,239.0,267.0,238.24
1865,226.95,255.5,277.25,254.09
1866,211.95,237.5,259.25,237.14
1867,211.0,240.0,262.05,238.36
1868,219.95,244.0,269.05,244.19
1869,208.95,233.5,259.15,234.49
1870,200.0,224.5,251.1,224.78
1871,203.0,226.0,247.05,225.87
1872,198.0,223.0,245.0,223.02
1873,208.95,233.0,257.2,233.09
1874,210.9,239.0,263.1,237.65
1875,191.95,217.0,235.05,215.63
1876,199.95,220.0,246.05,222.02
1877,176.95,205.5,223.39999999999998,204.28
1878,200.0,220.5,249.0,222.54
1879,188.95,209.0,229.0,208.27
1880,191.9,213.5,236.1,214.32
1881,190.7,213.5,235.0,213.1
1882,184.95,210.0,232.0,208.91
1883,191.65,210.0,231.05,209.37
1884,191.95,215.0,240.2,216.18
1885,177.8,208.0,228.05,207.51
1886,192.85,213.5,244.14999999999998,215.56
1887,187.95,217.0,238.1,215.52
1888,186.95,211.0,232.05,211.85
1889,174.85,203.5,227.0,203.36
1890,180.95,200.0,225.1,200.98
1891,179.95,205.0,226.0,203.72
1892,185.95,206.5,233.05,207.7
1893,175.9,202.5,222.05,200.81
1894,181.9,207.0,228.14999999999998,205.42
1895,171.0,192.5,223.0,193.33
1896,164.0,184.0,207.0,185.68
1897,179.95,199.5,228.14999999999998,200.84
1898,181.0,207.0,229.05,206.61
1899,169.9,192.5,213.1,191.46
1900,175.95,197.0,219.05,197.53
1901,180.9,200.0,227.0,200.87
1902,181.0,203.5,226.14999999999998,202.42
1903,174.8,195.0,221.05,195.78
1904,183.0,205.5,229.05,205.33
1905,196.7,218.0,242.0,218.46
1906,196.95,221.0,247.05,221.74
1907,185.95,210.0,239.05,210.88
1908,166.85,193.0,219.0,193.54
1909,185.85,208.0,233.1,208.35
1910,174.85,200.0,223.1,201.04
1911,165.95,188.0,214.2,189.66
1912,166.0,185.0,205.05,185.94
1913,181.0,205.0,232.14999999999998,204.92
1914,168.95,192.5,212.1,191.89
1915,160.95,184.0,207.1,183.55
1916,172.95,193.0,220.05,193.56
1917,173.0,195.0,221.14999999999998,196.02
1918,170.9,194.0,221.05,193.36
1919,167.95,190.0,211.05,189.65
1920,161.95,186.0,205.05,183.51
1921,162.95,185.0,208.25,185.39
1922,174.95,193.5,214.0,193.97
1923,166.85,187.0,222.0,188.31
1924,169.95,185.0,208.0,186.66
1925,156.95,179.5,204.05,179.01
1926,164.0,188.0,209.0,186.46
1927,160.0,183.5,201.05,182.03
1928,156.0,178.0,196.0,178.66
1929,149.95,173.0,190.05,171.35
1930,164.95,185.5,207.2,186.47
1931,161.95,182.0,203.0,182.07
1932,135.9,153.5,172.14999999999998,153.49
1933,83.0,97.0,112.14999999999999,97.48
1934,75.95,91.0,105.05,91.49
1935,77.95,95.5,109.0,94.95
1936,79.95,93.5,110.0,94.01
1937,76.85,90.5,109.14999999999999,92.22
1938,77.95,96.0,109.0,96.16
1939,78.95,92.0,105.05,92.34
1940,69.95,81.5,98.05,82.63
1941,72.9,89.0,107.05,88.91
1942,76.9,93.5,110.1,93.69
1943,76.95,94.0,105.05,92.47
1944,77.8,93.0,110.0,92.9
1945,68.95,84.0,99.0,84.07
1946,72.95,87.5,103.0,88.17
1947,72.85,90.0,103.05,88.86
1948,73.0,90.0,110.0,90.33
1949,73.9,88.0,103.05,87.41
1950,69.0,81.0,96.1,82.01
