year,p5,p50,p95,mean
2026,377.9,416.0,458.2,415.78
2027,378.85,414.5,453.1,414.72
2028,378.85,414.0,459.15,414.74
2029,386.8,422.0,455.05,420.5
2030,373.95,418.0,450.15,416.74
2031,375.0,418.5,455.05,417.85
2032,380.75,417.0,457.2,417.36
2033,375.85,414.0,464.25,417.46
2034,375.9,413.5,458.0,416.34
2035,373.95,419.5,452.05,416.22
2036,381.95,419.5,467.2,420.75
2037,376.8,419.5,461.0,421.22
2038,372.9,420.5,450.1,416.22
2039,382.75,425.5,461.0,424.85
2040,381.0,419.5,459.29999999999995,420.42
2041,380.5,425.5,458.05,422.92
2042,376.8,420.0,467.1,421.16
2043,373.9,423.0,464.15,420.89
2044,372.0,425.5,461.29999999999995,423.18
2045,380.7,422.5,469.2,424.17
