cluster_id,pattern_size,pattern_name,top_features
3,3351,pattern_3 | Mars_pos_angle_deg=245.60; Saturn_distance_km=1562737602.36; _jd_=2410884.17; Saturn_ang_diam_deg=0.00; magType=mw; Sun=Libra,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
4,2809,pattern_4 | _jd_=2407377.92; Rahu_true_zodiac_index=10.00; Rahu_mean_zodiac_index=10.00; Jupiter_pos_angle_deg=289.53; magType=mw; Sun=Libra,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
8,2551,pattern_8 | Jupiter_dec_deg=19.84; Saturn_dec_deg=-21.12; Jupiter_ra_hours=4.47; Jupiter_sid_long_over_360=0.19; magType=mw; Sun=Cancer,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
11,2159,pattern_11 | Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Saturn_pos_angle_deg=95.66; Ketu_true_sid_long_over_360=0.13; magType=mw; Sun=Taurus,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
9,2014,pattern_9 | Saturn_dec_deg=19.12; Saturn_ra_hours=4.54; Saturn_sid_long_over_360=0.20; Saturn_sid_long=71.61; magType=mw; Sun=Leo,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
1,1874,pattern_1 | Saturn_zodiac_index=11.00; Rahu_true_zodiac_index=11.00; Rahu_mean_zodiac_index=11.00; Rahu_mean_sid_long_over_360=0.85; magType=mw; Sun=Taurus,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
10,1691,pattern_10 | Saturn_pos_angle_deg=91.82; Jupiter_ang_diam_deg=0.01; Mercury_zodiac_index=3.00; Saturn_sid_lat=2.02; magType=mw; Sun=Taurus,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
2,1661,pattern_2 | Saturn_ang_diam_deg=0.01; Saturn_distance_km=1261135034.96; Mars_pos_angle_deg=246.07; Sun_ang_diam_deg=0.54; magType=mw; Sun=Aquarius,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
7,1569,pattern_7 | Saturn_zodiac_index=11.00; Saturn_pos_angle_deg=107.70; Saturn_sid_long=312.33; Saturn_sid_long_over_360=0.87; magType=mw; Sun=Sagittarius,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
5,1361,pattern_5 | Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Ketu_true_sid_long_over_360=0.13; Ketu_true_sid_long=48.38; magType=mw; Sun=Aquarius,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg"
