cluster_id,pattern_short,pattern_name,pattern_descriptor,pattern_size,top_features,top_feature_1,top_feature_2,top_feature_3,top_feature_4,top_feature_5,top_feature_6,top_feature_7,top_feature_8,top_feature_9,top_feature_10,time,latitude,longitude,mag,label,is_synthetic
3,pattern_3,pattern_3 | Mars_pos_angle_deg=245.60; Saturn_distance_km=1562737602.36; _jd_=2410884.17; Saturn_ang_diam_deg=0.00; magType=mw; Sun=Libra,Mars_pos_angle_deg=245.60; Saturn_distance_km=1562737602.36; _jd_=2410884.17; Saturn_ang_diam_deg=0.00; magType=mw; Sun=Libra,3351,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1949-11-20T07:09:53.620000+00:00,28.474,-112.31,6.84,1,False
4,pattern_4,pattern_4 | _jd_=2407377.92; Rahu_true_zodiac_index=10.00; Rahu_mean_zodiac_index=10.00; Jupiter_pos_angle_deg=289.53; magType=mw; Sun=Libra,_jd_=2407377.92; Rahu_true_zodiac_index=10.00; Rahu_mean_zodiac_index=10.00; Jupiter_pos_angle_deg=289.53; magType=mw; Sun=Libra,2809,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1950-11-05T17:37:33.320000+00:00,33.504,134.754,6.67,1,False
8,pattern_8,pattern_8 | Jupiter_dec_deg=19.84; Saturn_dec_deg=-21.12; Jupiter_ra_hours=4.47; Jupiter_sid_long_over_360=0.19; magType=mw; Sun=Cancer,Jupiter_dec_deg=19.84; Saturn_dec_deg=-21.12; Jupiter_ra_hours=4.47; Jupiter_sid_long_over_360=0.19; magType=mw; Sun=Cancer,2551,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1931-10-03T22:47:45.160000+00:00,-10.931,161.441,6.99,1,False
11,pattern_11,pattern_11 | Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Saturn_pos_angle_deg=95.66; Ketu_true_sid_long_over_360=0.13; magType=mw; Sun=Taurus,Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Saturn_pos_angle_deg=95.66; Ketu_true_sid_long_over_360=0.13; magType=mw; Sun=Taurus,2159,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1941-05-23T23:00:45.640000+00:00,37.08,28.426,5.39,1,False
9,pattern_9,pattern_9 | Saturn_dec_deg=19.12; Saturn_ra_hours=4.54; Saturn_sid_long_over_360=0.20; Saturn_sid_long=71.61; magType=mw; Sun=Leo,Saturn_dec_deg=19.12; Saturn_ra_hours=4.54; Saturn_sid_long_over_360=0.20; Saturn_sid_long=71.61; magType=mw; Sun=Leo,2014,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1948-09-08T15:09:14.220000+00:00,-21.222,-173.891,7.5,1,False
1,pattern_1,pattern_1 | Saturn_zodiac_index=11.00; Rahu_true_zodiac_index=11.00; Rahu_mean_zodiac_index=11.00; Rahu_mean_sid_long_over_360=0.85; magType=mw; Sun=Taurus,Saturn_zodiac_index=11.00; Rahu_true_zodiac_index=11.00; Rahu_mean_zodiac_index=11.00; Rahu_mean_sid_long_over_360=0.85; magType=mw; Sun=Taurus,1874,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1937-04-21T21:52:44.690000+00:00,74.91,9.148,5.36,1,False
10,pattern_10,pattern_10 | Saturn_pos_angle_deg=91.82; Jupiter_ang_diam_deg=0.01; Mercury_zodiac_index=3.00; Saturn_sid_lat=2.02; magType=mw; Sun=Taurus,Saturn_pos_angle_deg=91.82; Jupiter_ang_diam_deg=0.01; Mercury_zodiac_index=3.00; Saturn_sid_lat=2.02; magType=mw; Sun=Taurus,1691,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1950-08-17T05:29:19.020000+00:00,29.622,94.774,5.74,1,False
2,pattern_2,pattern_2 | Saturn_ang_diam_deg=0.01; Saturn_distance_km=1261135034.96; Mars_pos_angle_deg=246.07; Sun_ang_diam_deg=0.54; magType=mw; Sun=Aquarius,Saturn_ang_diam_deg=0.01; Saturn_distance_km=1261135034.96; Mars_pos_angle_deg=246.07; Sun_ang_diam_deg=0.54; magType=mw; Sun=Aquarius,1661,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1950-03-20T15:22:17+00:00,40.45,-121.467,5.5,1,False
7,pattern_7,pattern_7 | Saturn_zodiac_index=11.00; Saturn_pos_angle_deg=107.70; Saturn_sid_long=312.33; Saturn_sid_long_over_360=0.87; magType=mw; Sun=Sagittarius,Saturn_zodiac_index=11.00; Saturn_pos_angle_deg=107.70; Saturn_sid_long=312.33; Saturn_sid_long_over_360=0.87; magType=mw; Sun=Sagittarius,1569,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1950-12-29T22:35:23.860000+00:00,23.854,91.844,5.9,1,False
5,pattern_5,pattern_5 | Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Ketu_true_sid_long_over_360=0.13; Ketu_true_sid_long=48.38; magType=mw; Sun=Aquarius,Ketu_mean_zodiac_index=2.00; Ketu_true_zodiac_index=2.00; Ketu_true_sid_long_over_360=0.13; Ketu_true_sid_long=48.38; magType=mw; Sun=Aquarius,1361,"Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,Ketu_mean_sid_long,Rahu_true_zodiac_index,Ketu_true_zodiac_index,Saturn_ra_hours,Ketu_mean_zodiac_index,Saturn_dec_deg,Saturn_zodiac_index,Sun_ang_diam_deg,Sun_distance_km,Sun_dec_deg",Rahu_true_sid_long,Rahu_true_sid_long_over_360,Rahu_mean_sid_long,Ketu_true_sid_long,Rahu_mean_sid_long_over_360,Ketu_true_sid_long_over_360,Rahu_mean_zodiac_index,Ketu_mean_sid_long_over_360,Saturn_sid_long_over_360,Saturn_sid_long,1941-03-21T07:58:04.550000+00:00,6.916,-34.624,6.13,1,False
