Risk_Date,Threatened_Zone,Latitude,Longitude,Peak_Stress_Probability
2027-11-16,Andaman-Nicobar Trench,9.0,93.0,94.23
2027-11-16,Andaman-Nicobar Segment,9.0,93.0,94.23
2027-11-16,Philippine Trench,9.0,126.0,94.23
2027-11-16,Ninety East Ridge,9.0,90.0,94.23
2030-06-17,Java-Sumatra Trench,-2.5,100.0,93.28
2030-06-17,Ninety East Ridge,-2.5,90.0,93.28
2030-06-17,Sumatra-Java Trench,-2.5,102.0,93.28
2026-03-03,Philippine Trench,16.0,126.0,93.03
2026-03-03,Izu-Bonin-Mariana,16.0,145.0,93.03
2029-06-03,Java-Sumatra Trench,-6.5,100.0,92.89
2029-06-03,Ninety East Ridge,-6.5,90.0,92.89
2029-06-03,Sumatra-Java Trench,-6.5,102.0,92.89
2029-06-03,Chile-Peru Trench,-6.5,-72.0,92.89
2026-09-01,Chile-Peru Trench,-19.0,-72.0,92.61
2026-09-01,Tonga-Kermadec,-19.0,-175.0,92.61
2029-03-04,Philippine Trench,16.5,126.0,92.41
2029-03-04,Izu-Bonin-Mariana,16.5,145.0,92.41
2030-06-19,Chile-Peru Trench,-5.0,-72.0,92.33
2026-03-03,Indo-Burmese Arc,23.5,94.0,91.96
2029-03-03,Indo-Burmese Arc,20.0,94.0,91.83
2026-03-03,Andaman-Nicobar Trench,14.5,93.0,91.57
2026-03-03,Andaman-Nicobar Segment,14.5,93.0,91.57
2029-03-03,Andaman-Nicobar Trench,14.5,93.0,91.37
2029-03-03,Andaman-Nicobar Segment,14.5,93.0,91.37
2030-04-18,Tonga-Kermadec,-28.0,-175.0,91.11
2026-11-01,Andaman-Nicobar Segment,14.5,93.0,90.97
2026-11-01,Philippine Trench,14.5,126.0,90.97
2026-11-01,Andaman-Nicobar Trench,14.5,93.0,90.97
2026-03-03,Kachchh-Gujarat Rift,23.0,69.0,90.9
2028-03-31,Cascadia Subduction,41.0,-125.0,90.85
2028-03-31,Kuril-Kamchatka,41.0,150.0,90.85
2028-03-31,Japan Trench,41.0,142.0,90.85
2028-03-31,North Anatolian Fault (Turkey),40.7,26.0,90.84
2026-03-03,Ninety East Ridge,10.0,90.0,90.81
2026-10-31,Ninety East Ridge,9.5,90.0,90.68
2027-11-16,Java-Sumatra Trench,4.5,100.0,90.63
2027-11-16,Sumatra-Java Trench,4.5,102.0,90.63
2029-03-04,Ninety East Ridge,8.5,90.0,90.44
2029-03-04,Chile-Peru Trench,-14.5,-72.0,90.32
2029-03-04,Sumatra-Java Trench,1.0,102.0,90.3
2029-03-04,Java-Sumatra Trench,1.0,100.0,90.3
2028-03-31,San Andreas Fault (California),39.5,-124.0,90.15
2029-10-22,Himalayan Thrust,28.0,70.0,90.04
2029-10-22,Indo-Gangetic Plain / Himalayan Front,28.0,75.0,90.04
2029-10-22,Izu-Bonin-Mariana,28.0,145.0,90.04
2026-03-03,Makran Subduction Zone,24.0,60.0,89.98
2029-10-23,Philippine Trench,18.5,126.0,89.85
2029-03-05,Tonga-Kermadec,-20.5,-175.0,89.78
2026-10-31,Izu-Bonin-Mariana,16.5,145.0,89.69
2028-03-31,East Anatolian Fault (Turkey),38.0,35.0,89.55
2026-09-03,Japan Trench,32.0,142.0,89.28
2028-03-31,Indo-Burmese Arc,26.0,94.0,89.18
2028-03-31,Izu-Bonin-Mariana,26.0,145.0,89.18
2026-08-31,Java-Sumatra Trench,-3.5,100.0,89.16
2026-08-31,Sumatra-Java Trench,-3.5,102.0,89.16
2029-10-23,Japan Trench,32.0,142.0,88.88
2028-04-01,Aleutian Trench,52.0,-180.0,88.85
2029-10-22,Indo-Burmese Arc,27.0,94.0,88.68
2028-03-31,Indo-Gangetic Plain / Himalayan Front,27.0,75.0,88.59
2028-03-31,Mediterranean-Hellenic,35.0,15.0,88.58
