zone,latitude,longitude
Chile-Peru Trench,-55.0,-72.0
Chile-Peru Trench,-54.5,-72.0
Chile-Peru Trench,-54.0,-72.0
Chile-Peru Trench,-53.5,-72.0
Chile-Peru Trench,-53.0,-72.0
Chile-Peru Trench,-52.5,-72.0
Chile-Peru Trench,-52.0,-72.0
Chile-Peru Trench,-51.5,-72.0
Chile-Peru Trench,-51.0,-72.0
Chile-Peru Trench,-50.5,-72.0
Chile-Peru Trench,-50.0,-72.0
Chile-Peru Trench,-49.5,-72.0
Chile-Peru Trench,-49.0,-72.0
Chile-Peru Trench,-48.5,-72.0
Chile-Peru Trench,-48.0,-72.0
Chile-Peru Trench,-47.5,-72.0
Chile-Peru Trench,-47.0,-72.0
Chile-Peru Trench,-46.5,-72.0
Chile-Peru Trench,-46.0,-72.0
Chile-Peru Trench,-45.5,-72.0
Chile-Peru Trench,-45.0,-72.0
Chile-Peru Trench,-44.5,-72.0
Chile-Peru Trench,-44.0,-72.0
Chile-Peru Trench,-43.5,-72.0
Chile-Peru Trench,-43.0,-72.0
Chile-Peru Trench,-42.5,-72.0
Chile-Peru Trench,-42.0,-72.0
Chile-Peru Trench,-41.5,-72.0
Chile-Peru Trench,-41.0,-72.0
Chile-Peru Trench,-40.5,-72.0
Chile-Peru Trench,-40.0,-72.0
Chile-Peru Trench,-39.5,-72.0
Chile-Peru Trench,-39.0,-72.0
Chile-Peru Trench,-38.5,-72.0
Chile-Peru Trench,-38.0,-72.0
Chile-Peru Trench,-37.5,-72.0
Chile-Peru Trench,-37.0,-72.0
Chile-Peru Trench,-36.5,-72.0
Chile-Peru Trench,-36.0,-72.0
Chile-Peru Trench,-35.5,-72.0
Chile-Peru Trench,-35.0,-72.0
Chile-Peru Trench,-34.5,-72.0
Chile-Peru Trench,-34.0,-72.0
Chile-Peru Trench,-33.5,-72.0
Chile-Peru Trench,-33.0,-72.0
Chile-Peru Trench,-32.5,-72.0
Chile-Peru Trench,-32.0,-72.0
Chile-Peru Trench,-31.5,-72.0
Chile-Peru Trench,-31.0,-72.0
Chile-Peru Trench,-30.5,-72.0
Chile-Peru Trench,-30.0,-72.0
Chile-Peru Trench,-29.5,-72.0
Chile-Peru Trench,-29.0,-72.0
Chile-Peru Trench,-28.5,-72.0
Chile-Peru Trench,-28.0,-72.0
Chile-Peru Trench,-27.5,-72.0
Chile-Peru Trench,-27.0,-72.0
Chile-Peru Trench,-26.5,-72.0
Chile-Peru Trench,-26.0,-72.0
Chile-Peru Trench,-25.5,-72.0
Chile-Peru Trench,-25.0,-72.0
Chile-Peru Trench,-24.5,-72.0
Chile-Peru Trench,-24.0,-72.0
Chile-Peru Trench,-23.5,-72.0
Chile-Peru Trench,-23.0,-72.0
Chile-Peru Trench,-22.5,-72.0
Chile-Peru Trench,-22.0,-72.0
Chile-Peru Trench,-21.5,-72.0
Chile-Peru Trench,-21.0,-72.0
Chile-Peru Trench,-20.5,-72.0
Chile-Peru Trench,-20.0,-72.0
Chile-Peru Trench,-19.5,-72.0
Chile-Peru Trench,-19.0,-72.0
Chile-Peru Trench,-18.5,-72.0
Chile-Peru Trench,-18.0,-72.0
Chile-Peru Trench,-17.5,-72.0
Chile-Peru Trench,-17.0,-72.0
Chile-Peru Trench,-16.5,-72.0
Chile-Peru Trench,-16.0,-72.0
Chile-Peru Trench,-15.5,-72.0
Chile-Peru Trench,-15.0,-72.0
Chile-Peru Trench,-14.5,-72.0
Chile-Peru Trench,-14.0,-72.0
Chile-Peru Trench,-13.5,-72.0
Chile-Peru Trench,-13.0,-72.0
Chile-Peru Trench,-12.5,-72.0
Chile-Peru Trench,-12.0,-72.0
Chile-Peru Trench,-11.5,-72.0
Chile-Peru Trench,-11.0,-72.0
Chile-Peru Trench,-10.5,-72.0
Chile-Peru Trench,-10.0,-72.0
Chile-Peru Trench,-9.5,-72.0
Chile-Peru Trench,-9.0,-72.0
Chile-Peru Trench,-8.5,-72.0
Chile-Peru Trench,-8.0,-72.0
Chile-Peru Trench,-7.5,-72.0
Chile-Peru Trench,-7.0,-72.0
Chile-Peru Trench,-6.5,-72.0
Chile-Peru Trench,-6.0,-72.0
Chile-Peru Trench,-5.5,-72.0
Chile-Peru Trench,-5.0,-72.0
Cascadia Subduction,40.0,-125.0
Cascadia Subduction,40.5,-125.0
Cascadia Subduction,41.0,-125.0
Cascadia Subduction,41.5,-125.0
Cascadia Subduction,42.0,-125.0
Cascadia Subduction,42.5,-125.0
Cascadia Subduction,43.0,-125.0
Cascadia Subduction,43.5,-125.0
Cascadia Subduction,44.0,-125.0
Cascadia Subduction,44.5,-125.0
Cascadia Subduction,45.0,-125.0
Cascadia Subduction,45.5,-125.0
Cascadia Subduction,46.0,-125.0
Cascadia Subduction,46.5,-125.0
Cascadia Subduction,47.0,-125.0
Cascadia Subduction,47.5,-125.0
Cascadia Subduction,48.0,-125.0
Cascadia Subduction,48.5,-125.0
Cascadia Subduction,49.0,-125.0
Cascadia Subduction,49.5,-125.0
Cascadia Subduction,50.0,-125.0
Japan Trench,30.0,142.0
Japan Trench,30.5,142.0
Japan Trench,31.0,142.0
Japan Trench,31.5,142.0
Japan Trench,32.0,142.0
Japan Trench,32.5,142.0
Japan Trench,33.0,142.0
Japan Trench,33.5,142.0
Japan Trench,34.0,142.0
Japan Trench,34.5,142.0
Japan Trench,35.0,142.0
Japan Trench,35.5,142.0
Japan Trench,36.0,142.0
Japan Trench,36.5,142.0
Japan Trench,37.0,142.0
Japan Trench,37.5,142.0
Japan Trench,38.0,142.0
Japan Trench,38.5,142.0
Japan Trench,39.0,142.0
Japan Trench,39.5,142.0
Japan Trench,40.0,142.0
Japan Trench,40.5,142.0
Japan Trench,41.0,142.0
Japan Trench,41.5,142.0
Japan Trench,42.0,142.0
Japan Trench,42.5,142.0
Japan Trench,43.0,142.0
Japan Trench,43.5,142.0
Japan Trench,44.0,142.0
Japan Trench,44.5,142.0
Japan Trench,45.0,142.0
Aleutian Trench,52.0,-180.0
Aleutian Trench,52.0,-179.5
Aleutian Trench,52.0,-179.0
Aleutian Trench,52.0,-178.5
Aleutian Trench,52.0,-178.0
Aleutian Trench,52.0,-177.5
Aleutian Trench,52.0,-177.0
Aleutian Trench,52.0,-176.5
Aleutian Trench,52.0,-176.0
Aleutian Trench,52.0,-175.5
Aleutian Trench,52.0,-175.0
Aleutian Trench,52.0,-174.5
Aleutian Trench,52.0,-174.0
Aleutian Trench,52.0,-173.5
Aleutian Trench,52.0,-173.0
Aleutian Trench,52.0,-172.5
Aleutian Trench,52.0,-172.0
Aleutian Trench,52.0,-171.5
Aleutian Trench,52.0,-171.0
Aleutian Trench,52.0,-170.5
Aleutian Trench,52.0,-170.0
Aleutian Trench,52.0,-169.5
Aleutian Trench,52.0,-169.0
Aleutian Trench,52.0,-168.5
Aleutian Trench,52.0,-168.0
Aleutian Trench,52.0,-167.5
Aleutian Trench,52.0,-167.0
Aleutian Trench,52.0,-166.5
Aleutian Trench,52.0,-166.0
Aleutian Trench,52.0,-165.5
Aleutian Trench,52.0,-165.0
Aleutian Trench,52.0,-164.5
Aleutian Trench,52.0,-164.0
